Параметр;Нагрузка, т/ч;Расход воздуха, м3/ч;Расход метана, м3/ч;Расход биогаза, м3/ч;СН4, %;С2Н6, %;C3H8, %;СО2, %;N2, %;O2, %;H2S, %;H2, %;O2, %;N2, %;CO2, %;H2O, %;Тип амбразуры;Температура исходного воздуха, К;Температура топлива;Угол наклона лопаток завихрителя;Модель горения;Модель турбулентности;Размер сетки;коэф изб возд;Nox, мг/м3;CO, мг/м3;Тух, К;Тядра, K
1;195;22344;2000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;483;10;0;FGM;k-e;0,1;1,14;175;4,5;391;2030
2;247;25798,5;2437,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;487;10;0;FGM;k-e;0,1;1,08;166;3,5;397;2055
3;254;26870,375;2562,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;491;10;0;FGM;k-e;0,1;1,07;177;1,5;395;2060
4;299;31064,775;2962,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;495;10;0;FGM;k-e;0,1;1,07;215;4,5;397;2078
5;310;32609,5;3025;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;499;10;0;FGM;k-e;0,1;1,1;239;4,5;402;2095
6;355;36877,4;3550;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;503;10;0;FGM;k-e;0,1;1,06;207;1;394;2105
7;401;48272,35;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;507;10;0;FGM;k-e;0,1;1,22;300;7;400;2120
8;420;45141,25;4187,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;511;10;0;FGM;k-e;0,1;1,1;230;8;397;2145
9;425;49017,15;4275;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;515;10;0;FGM;k-e;0,1;1,17;270;22;395;2147
10;430;50715;4312,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;519;10;0;FGM;k-e;0,1;1,2;270;5;403;2150
11;470;56656,25;4625;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;523;10;0;FGM;k-e;0,1;1,25;268;0;375;2182
12;500;59718,75;4875;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;527;10;0;FGM;k-e;0,1;1,25;280;0;378;2190
13;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2195;0,7643;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;173,76;0;400;2120
14;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2075;0,7601;0,0104;0,0220;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;304,08;0;392;1979
15;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,1956;0,7559;0,0156;0,0329;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;152,04;0;388;1891
16;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,1788;0,7500;0,0229;0,0483;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;174,76;0;382;1803
17;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2123;0,7618;0,0083;0,0176;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;238,92;0;393;1981
18;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-e;0,4;1,02;141,18;1,28;401;2112
19;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;181,69;1,4;395;2121
20;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-e;0,75;1,02;181;1,5;399;2136
21;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;0;FGM;k-e;1;1,02;307,7;1,5;397;2185
22;315;30237,9;3025;0;98;2;0;0,84;1,05;0;0;0;0,219523484;0,7643;0,005210547;0,010977559;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;222,42;4,5;402;2095
23;470;46231,5;4625;0;98;2;0;0,84;1,05;0;0;0;0,219523484;0,7643;0,005210547;0,010977559;Диффузорная;477;10;0;FGM;k-e;0,5;1,02;222,42;0;375;2182
24;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Биконическая;477;10;0;FGM;k-e;0,4;1,02;160,5;1,3;396;2051
25;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Цилиндрическая;477;10;0;FGM;k-e;0,4;1,02;199,4;1,3;393;2101
26;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Конфузорная;477;10;0;FGM;k-e;0,4;1,02;227;1,3;398;2182
27;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;25;FGM;k-e;0,4;1,02;249;1,3;398,4;2069,8
28;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,0052;0,0110;Диффузорная;477;10;30;FGM;k-e;0,4;1,02;200;1,3;394,4;2003,5
29;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Диффузорная;477;10;35;FGM;k-e;0,4;1,02;166;1,3;388,2;1900,7
30;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Диффузорная;477;10;40;FGM;k-e;0,4;1,02;138,4;1,3;382,3;1803,1
31;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Диффузорная;477;10;45;FGM;k-e;0,4;1,02;135,7;1,3;376,7;1710,5
32;400;40358,85;4037,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7523;0,005210547;0,010977559;Диффузорная;477;10;50;FGM;k-e;0,4;1,02;105,3;1,3;371,3;1622,6
33;400;35215,075;0;4037,5;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;0,89;128;2,56;388;1980
34;400;39171,825;0;4037,5;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;0,99;189;10;394;2005
35;400;43128,575;0;4037,5;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,09;300;3,5;391;1950
36;400;36797,775;2826,25;1211,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;0,93;154;4,77;392;2050
37;400;41150,2;2826,25;1211,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,04;260;4,77;400;2110
38;400;45106,95;2826,25;1211,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,14;350;10;397;2097
39;400;36797,775;2018,75;2018,75;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;0,93;140;1,87;392;1980
40;400;40754,525;2018,75;2018,75;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,03;240;8;394;2000
41;400;44711,275;2018,75;2018,75;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,13;335;10;391;2031
42;400;36402,1;1211,25;2826,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;0,92;132;2,29;392;1950
43;400;40358,85;1211,25;2826,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,02;211;8,15;393;2010
44;400;44315,6;1211,25;2826,25;69,4;0;0;31,75;0,09;0;0,11;0;0,2315;0,7685;0;0;Диффузорная;477;10;0;FGM;k-e;0,4;1,12;315;3;392;1985
45;170;20426,875;1812,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;446;15;0;FGM;k-e;0,4;1,15;177,2;0;385;1890
46;200;22204,35;1987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;447;15;0;FGM;k-e;0,4;1,14;180,9;0;388;1900
47;250;27783;2625;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,08;185,3;0;390;2020
48;300;31326,925;2987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,07;225,2;0;393;2100
49;350;36487,85;3512,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;449;15;0;FGM;k-e;0,4;1,06;249,3;0;400;2120
50;400;41681,85;4012,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;450;15;0;FGM;k-e;0,4;1,06;254,9;0;400;2120
51;450;44798,25;4312,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,06;287,6;0;404;2150
52;500;51450;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,05;326,3;0;408;2160
53;170;20959,75;1812,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;446;15;0;FGM;k-e;0,4;1,18;189,1;0;388;1900
54;200;22788,675;1987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;447;15;0;FGM;k-e;0,4;1,17;183,2;0;390;2025
55;250;28126;2562,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,12;225,4;0;392;2090
56;300;31127,25;2887,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,1;244;0;395;2060
57;350;36852,9;3450;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;449;15;0;FGM;k-e;0,4;1,09;261;0;401;2122
58;400;42071,4;3975;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;450;15;0;FGM;k-e;0,4;1,08;267,7;0;405;2160
59;450;44827,65;4275;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;451;15;0;FGM;k-e;0,4;1,07;296,9;0;409;2165
60;500;51450;5000;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;452;15;0;FGM;k-e;0,4;1,05;330,4;0;412;2170
61;170;18786,6;1775;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;446;15;0;FGM;k-e;0,4;1,08;143,3;0;385;1890
62;200;20709,85;1975;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;447;15;0;FGM;k-e;0,4;1,07;150,5;0;386;1900
63;250;27132,525;2587,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,07;160,9;0;388;1902
64;300;31326,925;2987,5;0;98;2;0;0,84;1,05;0;0;0;0,2315;0,7685;0;0;Диффузорная;448;15;0;FGM;k-e;0,4;1,07;200,3;0;390;2021
