;N1;L1;N2;L2;a2;N3;L3;;;;Air blades;Air inlet;CH4;Temperature;S2;NH3;H2;O2;N2;CO2;H20;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Temperature (K);Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of Nitrogen Oxide Emission;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of CO;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of H2O
8;18;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,6236599999996244;2081,5885802369653;4,0472599999996905;0,00013424281848138845;1,983039999999592;0,1143804071137893;2,9795599999996405;0,1041426094454389
9;18;105;24;70;60;9;29,6;2;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,9795599999996405;2065,7061036857262;3,264279999999653;4,198391252623901e-05;1,4135999999995654;0,12764307894029;0,1323599999995064;0,135502604377586
11;18;105;24;70;60;9;29,6;4;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;2,908379999999636;1955,8444999778824;3,264279999999653;5,637677889875764e-06;1,3424199999995636;0,1095320014948952;2,4101199999996137;0,1411300264003306
12;18;105;24;70;60;9;29,6;5;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,1930999999996503;2197,532346738644;3,83371999999968;0,0002120730485380559;1,2000599999995565;0,1487380952831667;2,552479999999619;0,123834932301823
13;18;105;24;70;60;9;29,6;1;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;2,908379999999636;2140,790230263754;3,1219199999996468;6,66294119710447e-05;1,27123999999956;0,1340380329373768;2,6236599999996244;0,12818979334102
14;18;105;24;70;60;9;29,6;2;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,1219199999996468;2089,6693596830764;3,62017999999967;4,491471894678016e-05;0,4170799999995189;0,1428926454447636;2,8371999999996333;0,129877315359826
15;18;105;24;70;60;9;29,6;3;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;2,9795599999996405;2069,3881645677343;3,9048999999996834;2,836483324142956e-05;0,3458999999995154;0,142795084262837;2,6236599999996244;0,131849106388766
16;18;105;24;70;60;9;29,6;4;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;2,908379999999636;1985,7264494360488;3,5489999999996678;8,519564008374644e-06;1,3424199999995636;0,1147935967661317;2,552479999999619;0,1350399620754913
17;18;105;24;70;60;9;29,6;5;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;2,908379999999636;2228,825985708604;3,3354599999996566;0,0001843699913652625;1,2000599999995565;0,1428205755157241;2,552479999999619;0,125442825669212
18;18;105;24;70;60;9;29,6;1;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,908379999999636;2144,908676088923;3,3354599999996566;6,611471831773824e-05;1,27123999999956;0,1359411360378075;2,552479999999619;0,1283813660561618
19;18;105;24;70;60;9;29,6;2;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;2,908379999999636;2095,2814339521187;3,3354599999996566;4,0176315719794177e-05;1,3424199999995636;0,1238316698836555;2,694839999999626;0,1292094066459772
20;18;105;24;70;60;9;29,6;3;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1219199999996468;2071,381536954264;3,477819999999664;2,82234735492073e-05;1,3424199999995636;0,1228742207274631;2,694839999999626;0,1314350621058833
21;12;105;24;70;60;9;29,6;4;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,4101199999996137;2150,5955695205485;2,8371999999996333;0,000458237401663262;6,467379999999804;0,0;6,467379999999804;0,0
22;12;105;24;70;60;9;29,6;5;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,1219199999996468;2066,9085789388564;3,5489999999996678;4,420123388202976e-05;0,3458999999995154;0,1371183016886145;2,7660199999996298;0,1329741293360239
23;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,1219199999996468;2009,722287531861;3,3354599999996566;2,025532690670843e-05;1,27123999999956;0,1220825716681073;2,694839999999626;0,136517297110845
24;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,1219199999996468;1936,6184929322008;3,5489999999996678;6,656635402656457e-06;1,484779999999569;0,1143519330874955;2,8371999999996333;0,1407222135572307
25;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,1930999999996503;2250,652196410203;3,4066399999996597;0,00022358842150595505;0,6306199999995297;0,1483935196772972;2,694839999999626;0,1270114135113881
26;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,1930999999996503;2125,2679567145497;3,83371999999968;9,799227962831269e-05;1,128879999999553;0,1393070760974358;2,694839999999626;0,1286985342501789
27;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;2,694839999999626;2061,5512345755533;4,0472599999996905;4,2567401929397534e-05;1,484779999999569;0,1253619843983979;2,552479999999619;0,1298426381350465
28;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,477819999999664;2037,3771000575225;3,5489999999996678;2,712198809551061e-05;1,27123999999956;0,1273352118081928;2,2677599999996065;0,1279695625841854
29;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,264279999999653;1974,867895032256;3,5489999999996678;9,43645489572928e-06;1,3424199999995636;0,1127309458916044;2,552479999999619;0,1345941229627907
30;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,050739999999643;2229,3214847147106;3,5489999999996678;0,00022672887902102891;0,3458999999995154;0,1602924701368054;2,6236599999996244;0,1255475003720391
31;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,552479999999619;2092,6674196133463;3,9048999999996834;7,591158619821609e-05;1,128879999999553;0,138216815761974;2,4101199999996137;0,1275944532445163
32;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,4066399999996597;2106,0351223946222;3,762539999999677;4,136489500205247e-05;1,128879999999553;0,1323445332861859;2,694839999999626;0,1306919392433543
33;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1930999999996503;2076,2962808161165;4,474339999999711;2,554203974619401e-05;1,3424199999995636;0,1274820965490058;2,9795599999996405;0,1323569705045867
34;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,9795599999996405;2153,648204760876;3,1930999999996503;0,0004228509672854063;5,186139999999744;0,0;5,186139999999744;0,0
35;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,62017999999967;2087,5630079608054;4,0472599999996905;5,269063485815367e-05;0,4882599999995225;0,1363225530355004;3,1219199999996468;0,1337184595238271
36;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,62017999999967;2018,129721373236;4,0472599999996905;1,9811244691862923e-05;0,9865199999995476;0,1280333002509423;3,264279999999653;0,1377852257380481
