;N1;L1;N2;L2;a2;N3;L3;;;;Air blades;Air inlet;CH4;Temperature;S2;NH3;H2;O2;N2;CO2;H20;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Temperature (K);Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of Nitrogen Oxide Emission;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of CO;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of H2O
8;18;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;471;0;0;0;0,233;0,767;0;0;2,552479999999619;2151,0246826262046;2,6236599999996244;0,00031616849908548586;0,7729799999995368;0,1389680419950094;2,694839999999626;0,1239108485754462
9;18;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,9795599999996405;2065,7061036857262;3,264279999999653;4,198391252623901e-05;1,4135999999995654;0,12764307894029;3,1219199999996468;0,1161542912486294
10;18;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,050739999999643;2025,209598823954;3,264279999999653;1,9446394040674652e-05;0,0611799999995028;0,1400679632480699;3,1219199999996468;0,1214834202821907
11;18;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;478;0;0;0;0,1912;0,74649;0,02006;0,04225;2,908379999999636;1955,8444999778824;3,264279999999653;5,637677889875764e-06;1,3424199999995636;0,1095320014948952;3,264279999999653;0,1213909031866882
12;18;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,1930999999996503;2197,532346738644;3,83371999999968;0,0002120730485380559;1,2000599999995565;0,1487380952831667;3,6913599999996736;0,1157826639593307
13;18;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;2,908379999999636;2140,790230263754;3,1219199999996468;6,66294119710447e-05;1,27123999999956;0,1340380329373768;3,1219199999996468;0,1173057746636177
14;18;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,1219199999996468;2089,6693596830764;3,62017999999967;4,491471894678016e-05;0,4170799999995189;0,1428926454447636;3,62017999999967;0,1176091111675884
15;18;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;2,9795599999996405;2069,3881645677343;3,9048999999996834;2,836483324142956e-05;0,3458999999995154;0,142795084262837;3,1219199999996468;0,1169085859554644
16;18;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;2,908379999999636;1985,7264494360488;3,5489999999996678;8,519564008374644e-06;1,3424199999995636;0,1147935967661317;3,4066399999996597;0,1184448531046166
17;18;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;2,908379999999636;2228,825985708604;3,3354599999996566;0,0001843699913652625;1,2000599999995565;0,1428205755157241;3,3354599999996566;0,1191499298380117
18;18;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,908379999999636;2144,908676088923;3,3354599999996566;6,611471831773824e-05;1,27123999999956;0,1359411360378075;3,3354599999996566;0,117309979248918
19;18;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;2,908379999999636;2095,2814339521187;3,3354599999996566;4,0176315719794177e-05;1,3424199999995636;0,1238316698836555;3,1219199999996468;0,1171042303417943
20;18;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1219199999996468;2071,381536954264;3,477819999999664;2,82234735492073e-05;1,3424199999995636;0,1228742207274631;3,264279999999653;0,1172687721299279
21;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;471;0;0;0;0,233;0,767;0;0;2,4101199999996137;2150,5955695205485;2,8371999999996333;0,000458237401663262;0,7729799999995368;0,126475133802692;2,8371999999996333;0,1267336327521073
22;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,1219199999996468;2066,9085789388564;3,5489999999996678;4,420123388202976e-05;0,3458999999995154;0,1371183016886145;3,1930999999996503;0,117811543621919
23;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,1219199999996468;2009,722287531861;3,3354599999996566;2,025532690670843e-05;1,27123999999956;0,1220825716681073;3,3354599999996566;0,1194052860360646
24;12;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,1219199999996468;1936,6184929322008;3,5489999999996678;6,656635402656457e-06;1,484779999999569;0,1143519330874955;3,3354599999996566;0,1186466451868565
25;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,1930999999996503;2250,652196410203;3,4066399999996597;0,00022358842150595505;0,6306199999995297;0,1483935196772972;3,4066399999996597;0,1187106679182249
26;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,1930999999996503;2125,2679567145497;3,83371999999968;9,799227962831269e-05;1,128879999999553;0,1393070760974358;3,83371999999968;0,1186105063636248
27;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;2,694839999999626;2061,5512345755533;4,0472599999996905;4,2567401929397534e-05;1,484779999999569;0,1253619843983979;2,7660199999996298;0,109923519649762
28;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,477819999999664;2037,3771000575225;3,5489999999996678;2,712198809551061e-05;1,27123999999956;0,1273352118081928;3,5489999999996678;0,1179295239860137
29;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,264279999999653;1974,867895032256;3,5489999999996678;9,43645489572928e-06;1,3424199999995636;0,1127309458916044;3,477819999999664;0,118922829405298
30;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,050739999999643;2229,3214847147106;3,5489999999996678;0,00022672887902102891;0,3458999999995154;0,1602924701368054;3,5489999999996678;0,1192199101160554
31;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,552479999999619;2092,6674196133463;3,9048999999996834;7,591158619821609e-05;1,128879999999553;0,138216815761974;3,762539999999677;0,114417335464334
